t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.211,12.00;12.00;8.26;2.59;1.95;1.93;1.23;1.18;12.00;12.00;1.78;12.00;12.00,0.23,0.13,4.1,1.183,False,False,True
0.51,12.00;12.00;8.26;2.59;1.95;1.93;1.23;1.18;12.00;12.00;1.78;12.00;12.00,0.23,0.13,4.1,1.183,False,False,True
0.82,12.00;12.00;7.99;2.11;1.76;1.79;1.02;1.01;12.00;12.00;1.62;12.00;12.00,0.23,0.13,3.1,1.016,False,False,True
1.131,12.00;7.86;2.07;1.50;1.51;0.82;0.82;0.82;12.00;12.00;1.36;12.00;12.00,0.23,0.13,1.3,0.818,False,False,True
1.45,12.00;7.75;1.43;1.33;1.37;1.44;1.54;1.68;12.00;12.00;1.20;1.19;12.00,0.23,0.13,1.3,0.818,False,False,True
1.741,12.00;1.36;1.15;1.18;1.22;1.29;1.39;1.52;12.00;12.00;12.00;1.02;12.00,0.23,0.13,1.3,0.818,False,False,True
2.028,1.21;0.99;1.01;1.04;1.09;1.15;1.24;12.00;12.00;12.00;12.00;12.00;12.00,0.23,0.13,1.3,0.818,False,False,True
2.314,0.99;0.93;0.89;0.90;0.94;1.00;1.09;12.00;12.00;12.00;12.00;12.00;12.00,0.23,0.13,1.3,0.818,False,False,True
2.59,0.99;0.93;0.88;0.85;0.83;0.82;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.23,0.13,1.3,0.818,False,False,True
2.871,0.99;0.93;0.88;0.85;0.84;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.0,,,False,False,False
