t,distances,motor_l,motor_r,state,target_deg,search_side
0.003,12.00;12.00;12.00;9.33;8.60;8.20;8.08;8.20;8.60;9.33;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.121,12.00;12.00;12.00;9.24;8.52;8.13;8.00;8.13;8.52;9.24;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.227,12.00;12.00;12.00;9.02;8.31;7.93;7.81;7.93;8.31;9.02;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.336,12.00;12.00;12.00;8.75;8.06;7.69;7.58;7.69;8.06;8.75;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.448,12.00;12.00;12.00;8.45;7.78;7.43;7.31;7.43;7.78;8.45;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.555,12.00;12.00;12.00;8.09;7.45;7.11;7.00;7.11;7.45;8.09;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.665,12.00;12.00;12.00;7.78;7.17;6.84;6.73;6.84;7.17;7.78;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.775,12.00;12.00;12.00;7.45;6.86;6.55;6.45;6.55;6.86;7.45;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.886,12.00;12.00;12.00;7.23;6.66;6.36;6.26;6.36;6.66;7.23;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.993,12.00;12.00;7.70;6.81;6.28;5.99;5.90;5.99;6.28;6.81;12.00;12.00;12.00,0.0,0.483,FORWARD,-45.0,
1.102,12.00;12.00;7.28;6.49;6.03;5.79;5.74;5.86;6.19;6.76;12.00;12.00;12.00,0.0,0.45,FORWARD,-45.0,
1.213,12.00;12.00;6.95;6.26;5.85;5.65;5.64;5.79;6.15;6.78;12.00;12.00;12.00,0.0,0.427,FORWARD,-45.0,
1.32,12.00;12.00;6.64;6.03;5.67;5.52;5.54;5.73;6.13;6.81;12.00;12.00;12.00,0.0,0.388,FORWARD,-45.0,
1.434,12.00;7.31;6.40;5.85;5.54;5.42;5.46;5.68;6.12;6.85;12.00;12.00;12.00,0.0,0.368,FORWARD,-45.0,
1.538,12.00;6.89;6.09;5.62;5.36;5.28;5.37;5.63;6.11;6.91;12.00;12.00;12.00,0.0,0.339,FORWARD,-45.0,
1.649,12.00;6.57;5.87;5.45;5.23;5.18;5.30;5.59;6.11;6.97;12.00;12.00;12.00,0.0,0.319,FORWARD,-45.0,
1.761,12.00;6.33;5.69;5.31;5.13;5.10;5.24;5.56;6.12;12.00;12.00;12.00;12.00,0.0,0.303,FORWARD,-45.0,
1.869,7.07;6.11;5.53;5.19;5.03;5.03;5.19;5.54;6.13;12.00;12.00;12.00;12.00,0.0,0.288,FORWARD,-45.0,
1.982,6.81;5.93;5.39;5.08;4.95;4.97;5.15;5.52;6.14;12.00;12.00;12.00;12.00,0.0,0.275,FORWARD,-45.0,
2.089,6.54;5.73;5.24;4.97;4.86;4.91;5.11;5.50;6.17;12.00;12.00;12.00;12.00,0.0,0.261,FORWARD,-45.0,
2.197,6.32;5.57;5.12;4.87;4.79;4.85;5.08;5.49;6.19;12.00;12.00;12.00;12.00,0.0,0.25,FORWARD,-45.0,
2.307,6.18;5.47;5.04;4.82;4.74;4.82;5.06;5.49;6.21;12.00;12.00;12.00;12.00,0.0,0.242,FORWARD,-45.0,
2.415,5.93;5.29;4.91;4.71;4.66;4.76;5.02;5.49;6.25;12.00;12.00;12.00;12.00,-0.005,0.235,FORWARD,-50.0,
2.526,5.85;5.23;4.86;4.67;4.64;4.74;5.01;5.49;6.27;12.00;12.00;12.00;12.00,-0.007,0.233,FORWARD,-50.0,
2.633,5.65;5.08;4.75;4.59;4.57;4.70;4.99;5.49;6.33;12.00;12.00;12.00;12.00,-0.012,0.228,FORWARD,-50.0,
2.74,5.48;4.96;4.66;4.52;4.52;4.66;4.97;5.51;12.00;12.00;12.00;12.00;12.00,-0.016,0.224,FORWARD,-50.0,
2.854,5.37;4.88;4.59;4.47;4.48;4.64;4.97;5.52;12.00;12.00;12.00;12.00;12.00,-0.019,0.221,FORWARD,-50.0,
2.978,5.21;4.76;4.50;4.40;4.44;4.61;4.96;5.55;12.00;12.00;12.00;12.00;12.00,-0.022,0.218,FORWARD,-50.0,
3.099,5.05;4.64;4.42;4.34;4.39;4.59;4.97;5.59;12.00;12.00;12.00;12.00;12.00,0.214,-0.026,FORWARD,40.0,
3.211,5.06;4.63;4.40;4.31;4.35;4.54;4.89;5.49;12.00;12.00;12.00;12.00;12.00,0.211,-0.029,FORWARD,40.0,
3.318,5.08;4.62;4.36;4.26;4.28;4.44;4.76;5.31;12.00;12.00;12.00;12.00;12.00,0.205,-0.035,FORWARD,40.0,
3.426,5.10;4.62;4.34;4.22;4.23;4.37;4.66;5.17;6.01;12.00;12.00;12.00;12.00,0.201,-0.039,FORWARD,45.0,
3.536,5.12;4.62;4.33;4.19;4.18;4.31;4.58;5.06;5.85;12.00;12.00;12.00;12.00,0.197,-0.043,FORWARD,45.0,
3.644,5.15;4.62;4.31;4.16;4.13;4.24;4.49;4.93;5.66;12.00;12.00;12.00;12.00,0.193,-0.047,FORWARD,45.0,
3.756,5.19;4.63;4.30;4.13;4.09;4.18;4.42;4.83;5.51;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,45.0,
3.862,5.20;4.63;4.30;4.12;4.08;4.16;4.38;4.78;5.44;12.00;12.00;12.00;12.00,0.189,-0.051,FORWARD,45.0,
3.971,5.26;4.65;4.29;4.09;4.02;4.08;4.28;4.64;5.24;12.00;12.00;12.00;12.00,0.185,-0.055,FORWARD,45.0,
4.085,5.31;4.67;4.28;4.07;3.99;4.04;4.22;4.56;5.12;12.00;12.00;12.00;12.00,0.182,-0.058,FORWARD,45.0,
4.192,5.37;4.69;4.28;4.05;3.96;3.99;4.15;4.46;4.99;12.00;12.00;12.00;12.00,0.18,-0.06,FORWARD,45.0,
4.298,5.42;4.71;4.29;4.04;3.94;3.96;4.10;4.39;4.89;5.71;12.00;12.00;12.00,0.18,-0.06,FORWARD,45.0,
4.408,5.49;4.75;4.29;4.03;3.91;3.91;4.04;4.30;4.76;5.52;12.00;12.00;12.00,0.18,-0.06,FORWARD,45.0,
